sub_id,session,run,trial,value
MET012,2,1,3,0.71257645855137697
MET012,2,1,4,0.96113340301196104
MET012,2,2,1,0.77023918001055114
MET012,2,2,2,0.6688884796005069
MET012,2,2,3,0.74561636013172505
MET012,2,2,4,0.70379213850845013
MET012,2,3,1,0.75552548445303358
MET012,2,3,2,0.71451430049354137
MET012,2,3,3,0.70800275917460875
MET012,2,3,4,0.77938516119165702
MET012,2,4,1,0.90165511577630963
MET012,2,4,2,0.92647420487340182
MET012,2,4,3,0.79304705483289684
MET012,2,4,4,0.79150289380924088
MET015,1,1,1,0.69527475559004048
MET015,1,1,2,0.909920563713848
MET015,1,1,3,0.93544773832137884
MET015,1,1,4,0.82237283549471463
MET015,1,2,1,0.77706313277630845
MET015,1,2,2,0.91589961179874524
MET015,1,2,3,0.93315809923176896
MET015,1,2,4,0.93315809923176896
MET015,1,3,1,0.88084646750000117
MET015,1,3,2,0.85313857622057854
